App,Installs_Clean
App,0
ROBLOX,100000000
Subway Surfers,1000000000
Candy Crush Saga,500000000
Solitaire,10000000
Bubble Shooter,10000000
Hello Kitty Nail Salon,50000000
slither.io,100000000
Clash Royale,100000000
Temple Run 2,500000000
Pou,500000000
Helix Jump,100000000
Block Puzzle,5000000
Angry Birds Rio,100000000
Plants vs. Zombies FREE,100000000
Sonic Dash,100000000
Candy Crush Soda Saga,100000000
Zombie Hunter King,1000000
Clash of Clans,100000000
Kick the Buddy,50000000
Block Puzzle Classic Legend !,5000000
PAC-MAN,100000000
Super Jim Jump - pixel 3d,1000000
8 Ball Pool,100000000
Magic Tiles 3,50000000
Bubble Witch 3 Saga,50000000
Word Search,10000000
Granny,50000000
Angry Birds Classic,100000000
Flow Free,100000000
Race the Traffic Moto,10000000
Fishdom,10000000
Galaxy Attack: Alien Shooter,10000000
Zombie Tsunami,100000000
Bubble Shooter 2,5000000
Barbie�?� Fashion Closet,10000000
Candy Crush Jelly Saga,50000000
Hill Climb Racing,100000000
Gardenscapes,50000000
Marble - Temple Quest,10000000
Shooting King,10000000
Zombie Catchers,10000000
Minion Rush: Despicable Me Official Game,100000000
Farm Heroes Saga,100000000
Geometry Dash World,10000000
My Talking Angela,100000000
Cut the Rope FULL FREE,100000000
Sniper 3D Gun Shooter: Free Shooting Games - FPS,100000000
Subway Surfers,1000000000
ROBLOX,100000000
Pou,500000000
8 Ball Pool,100000000
Clash of Clans,100000000
Candy Crush Saga,500000000
Plants vs. Zombies FREE,100000000
Cooking Fever,100000000
Toon Blast,10000000
Score! Hero,100000000
My Talking Angela,100000000
Bubble Shooter,10000000
Toy Blast,50000000
Miraculous Ladybug & Cat Noir - The Official Game,10000000
Wordscapes,10000000
Word Search,10000000
Candy Crush Soda Saga,100000000
Fishdom,10000000
Garena Free Fire,100000000
Block Puzzle,5000000
Bowmasters,50000000
Clash Royale,100000000
My Talking Tom,500000000
Sniper 3D Gun Shooter: Free Shooting Games - FPS,100000000
Granny,50000000
Galaxy Attack: Alien Shooter,10000000
Angry Birds Rio,100000000
Zombie Catchers,10000000
Zombie Hunter King,1000000
Temple Run 2,500000000
Zombie Tsunami,100000000
Jungle Marble Blast,5000000
Rider,10000000
Farm Heroes Saga,100000000
Super Jim Jump - pixel 3d,1000000
slither.io,100000000
Roll the Ball?? - slide puzzle,100000000
Talking Tom Gold Run,100000000
Pixel Art: Color by Number Game,10000000
Dream League Soccer 2018,100000000
Angry Birds Classic,100000000
Fruits Bomb,10000000
Traffic Racer,100000000
Hill Climb Racing 2,100000000
Flow Free,100000000
Knife Hit,10000000
Block Craft 3D: Building Simulator Games For Free,50000000
Farm Fruit Pop: Party Time,1000000
ROBLOX,100000000
Helix Jump,100000000
Subway Surfers,1000000000
Candy Crush Saga,500000000
Toon Blast,10000000
Love Balls,50000000
Granny,50000000
8 Ball Pool,100000000
Sniper 3D Gun Shooter: Free Shooting Games - FPS,100000000
slither.io,100000000
Hungry Shark Evolution,100000000
Temple Run 2,500000000
Kick the Buddy,50000000
Magic Tiles 3,50000000
Bowmasters,50000000
Piano Tiles 2�?�,100000000
Pok??mon GO,100000000
Wordscapes,10000000
Paint Hit,10000000
Snake VS Block,50000000
Rolly Vortex,10000000
Woody Puzzle,1000000
