Genres,Avg_Rating,Avg_Installs
Simulation;Action & Adventure,4.7,10000000.0
Sports,4.54,79714285.7142857
Puzzle,4.53,28314285.7142857
Simulation;Education,4.5,100000.0
Casual;Action & Adventure,4.5,100000000.0
Adventure;Action & Adventure,4.5,100000000.0
Casual,4.46,154422222.222222
Strategy,4.4,48220833.3333333
Role Playing,4.4,7131250.0
Casual;Brain Games,4.4,10000000.0
Action;Action & Adventure,4.37,8333333.33333333
Simulation,4.35,18281818.1818182
Word,4.26,9281812.06896552
Casual;Pretend Play,4.2,50000000.0
Action,4.2,25594627.9178082
Casual;Creativity,4.1,10000000.0
Casino,4.07,3340017.94871795
Adventure,4.07,5422604.26666667
Arcade,4.05,48759677.9772727
Music,4.02,14550931.8181818
Board,4.0,3798345.68181818
Racing,3.96,20410686.9387755
Card,3.83,3392210.41666667
Trivia,2.98,3384378.15789474
Genres,0.0,0.0
